Case,VulLink,Origin,Dest,ODIndex,Demand,UECost
-1,-1,9,10,209,4000,12.4589
-1,-1,9,8,210,2800,5.74363
-1,-1,9,7,211,1600,20.9474
-1,-1,9,6,212,1900,25.2176
-1,-1,9,5,213,800,25.2065
-1,-1,9,4,214,1000,15.455
-1,-1,9,3,215,1200,17.7753
-1,-1,9,2,216,300,22.0502
-1,-1,9,1,217,600,31.8907
-1,-1,9,0,218,1300,26.0594
-1,-1,10,23,219,600,26.5106
-1,-1,10,22,220,1300,22.7408
-1,-1,10,21,221,1100,34.8669
-1,-1,10,20,222,400,38.1605
-1,-1,10,19,223,600,39.5198
-1,-1,10,18,224,400,30.1406
-1,-1,10,17,225,100,35.3651
-1,-1,10,16,226,1000,28.518
-1,-1,10,15,227,1400,32.1935
-1,-1,10,14,228,1400,25.8609
-1,-1,10,13,229,1600,13.7482
-1,-1,10,12,230,1000,16.4798
-1,-1,10,11,231,1400,13.4556
-1,-1,10,9,232,3900,12.2099
-1,-1,10,8,233,1400,17.9536
-1,-1,10,7,234,800,33.1573
-1,-1,10,6,235,500,37.4276
-1,-1,10,5,236,400,19.2916
-1,-1,10,4,237,500,9.54003
-1,-1,10,3,238,1500,7.22302
-1,-1,10,2,239,300,11.4979
-1,-1,10,1,240,200,21.5081
-1,-1,10,0,241,500,15.5071
-1,-1,11,23,242,500,20.4415
-1,-1,11,22,243,700,24.1472
-1,-1,11,21,244,700,36.1333
-1,-1,11,20,245,300,32.0914
-1,-1,11,19,246,400,40.2866
-1,-1,11,18,247,300,43.6977
-1,-1,11,17,248,200,42.955
-1,-1,11,16,249,600,42.0751
-1,-1,11,15,250,700,45.7506
-1,-1,11,14,251,700,39.418
-1,-1,11,13,252,700,27.3053
-1,-1,11,12,253,1300,3.02417
-1,-1,11,10,254,1400,13.5571
-1,-1,11,9,255,2000,25.7671
-1,-1,11,8,256,600,20.3206
-1,-1,11,7,257,600,35.2481
-1,-1,11,6,258,700,40.891
-1,-1,11,5,259,200,20.3608
-1,-1,11,4,260,200,10.6093
-1,-1,11,3,261,600,8.29226
-1,-1,11,2,262,200,4.02107
-1,-1,11,1,263,100,14.0312
-1,-1,11,0,264,200,8.03026
-1,-1,12,23,265,800,17.4173
-1,-1,12,22,266,800,21.1231
-1,-1,12,21,267,1300,33.1091
-1,-1,12,20,268,600,29.0672
-1,-1,12,19,269,600,37.2624
-1,-1,12,18,270,300,46.281
-1,-1,12,17,271,100,41.527
-1,-1,12,16,272,500,45.1001
-1,-1,12,15,273,600,44.7037
-1,-1,12,14,274,700,42.0013
-1,-1,12,13,275,600,30.0332
-1,-1,12,11,276,1300,3.02505
-1,-1,12,10,277,1000,16.5822
-1,-1,12,9,278,1900,28.7921
-1,-1,12,8,279,600,23.3457
-1,-1,12,7,280,600,38.2731
-1,-1,12,6,281,400,43.5895
-1,-1,12,5,282,200,23.3859
-1,-1,12,4,283,200,13.6343
-1,-1,12,3,284,600,11.3173
-1,-1,12,2,285,100,7.04612
-1,-1,12,1,286,300,17.0562
-1,-1,12,0,287,500,11.0553
-1,-1,13,23,288,400,12.7624
-1,-1,13,22,289,1100,8.99256
-1,-1,13,21,290,1200,21.1187
-1,-1,13,20,291,400,24.4123
-1,-1,13,19,292,500,25.7716
-1,-1,13,18,293,300,16.3923
-1,-1,13,17,294,100,30.0362
-1,-1,13,16,295,700,23.8278
-1,-1,13,15,296,700,33.0687
-1,-1,13,14,297,1300,12.1127
-1,-1,13,12,298,600,30.2386
-1,-1,13,11,299,700,27.2908
-1,-1,13,10,300,1600,13.8352
-1,-1,13,9,301,2100,25.9021
-1,-1,13,8,302,600,31.6457
-1,-1,13,7,303,400,37.6583
-1,-1,13,6,304,200,32.0986
-1,-1,13,5,305,100,33.1268
-1,-1,13,4,306,100,23.3752
-1,-1,13,3,307,500,21.0582
-1,-1,13,2,308,100,25.3331
-1,-1,13,1,309,100,35.3432
-1,-1,13,0,310,300,29.3423
-1,-1,14,23,311,400,24.8948
-1,-1,14,22,312,1000,21.2696
-1,-1,14,21,313,2600,9.0142
-1,-1,14,20,314,800,13.1107
-1,-1,14,19,315,1100,13.6589
-1,-1,14,18,316,800,4.27968
-1,-1,14,17,317,200,17.9235
-1,-1,14,16,318,1500,11.7151
-1,-1,14,15,319,1200,20.9561
-1,-1,14,13,320,1300,12.293
-1,-1,14,12,321,700,42.371
-1,-1,14,11,322,700,39.5838
-1,-1,14,10,323,1400,26.1282
-1,-1,14,9,324,4000,13.7894
-1,-1,14,8,325,1000,19.533
-1,-1,14,7,326,600,25.5456
-1,-1,14,6,327,500,19.986
-1,-1,14,5,328,200,38.9959
-1,-1,14,4,329,200,29.2444
-1,-1,14,3,330,500,31.5647
-1,-1,14,2,331,100,35.8397
-1,-1,14,1,332,100,45.6801
-1,-1,14,0,333,500,39.8489
-1,-1,15,23,334,300,27.3976
-1,-1,15,22,335,500,27.4095
-1,-1,15,21,336,1200,15.1541
-1,-1,15,20,337,600,15.6135
-1,-1,15,19,338,1600,7.44093
-1,-1,15,18,339,1300,16.4413
-1,-1,15,17,340,500,3.1716
-1,-1,15,16,341,2800,9.11545
-1,-1,15,14,342,1200,20.7623
-1,-1,15,13,343,700,33.0553
-1,-1,15,12,344,600,44.8738
-1,-1,15,11,345,700,46.2429
-1,-1,15,10,346,1400,32.8819
-1,-1,15,9,347,4400,20.423
-1,-1,15,8,348,1400,25.9204
-1,-1,15,7,349,2200,10.7937
-1,-1,15,6,350,1400,5.23408
-1,-1,15,5,351,900,25.7473
-1,-1,15,4,352,500,35.6264
-1,-1,15,3,353,800,37.9468
-1,-1,15,2,354,200,42.2217
-1,-1,15,1,355,400,32.4314
-1,-1,15,0,356,500,38.4323
-1,-1,16,23,357,300,36.5417
-1,-1,16,22,358,600,32.9165
-1,-1,16,21,359,1700,20.6611
-1,-1,16,20,360,600,24.7576
-1,-1,16,19,361,1700,16.6819
-1,-1,16,18,362,1700,7.32588
-1,-1,16,17,363,600,12.4125
-1,-1,16,15,364,2800,9.24092
-1,-1,16,14,365,1500,11.6469
-1,-1,16,13,366,700,23.9399
-1,-1,16,12,367,500,45.2467
-1,-1,16,11,368,600,42.2225
-1,-1,16,10,369,1000,28.7669
-1,-1,16,9,370,3900,16.308
-1,-1,16,8,371,900,22.0516
-1,-1,16,7,372,1400,20.0346
-1,-1,16,6,373,1000,14.475
-1,-1,16,5,374,500,34.9882
-1,-1,16,4,375,200,31.763
-1,-1,16,3,376,500,34.0834
-1,-1,16,2,377,100,38.3583
-1,-1,16,1,378,200,41.6723
-1,-1,16,0,379,400,42.3675
-1,-1,17,22,380,100,24.2379
-1,-1,17,21,381,300,11.9825
-1,-1,17,20,382,100,12.4419
-1,-1,17,19,383,400,4.26934
-1,-1,17,18,384,300,14.1671
-1,-1,17,16,385,600,12.2921
-1,-1,17,15,386,500,3.17663
-1,-1,17,14,387,200,18.4881
-1,-1,17,13,388,100,30.7811
-1,-1,17,12,389,100,41.7022
-1,-1,17,11,390,200,43.0713
-1,-1,17,10,391,200,36.0585
-1,-1,17,9,392,700,23.5996
-1,-1,17,8,393,200,22.7488
-1,-1,17,7,394,300,7.62212
-1,-1,17,6,395,200,2.06249
-1,-1,17,5,396,100,22.5757
-1,-1,17,3,397,100,34.7752
-1,-1,17,0,398,100,35.2607
-1,-1,18,23,399,100,29.2159
-1,-1,18,22,400,300,25.5906
-1,-1,18,21,401,1200,13.3352
-1,-1,18,20,402,400,17.4317
-1,-1,18,19,403,1200,9.37922
-1,-1,18,17,404,300,13.6438
-1,-1,18,16,405,1700,7.43547
-1,-1,18,15,406,1300,16.6764
-1,-1,18,14,407,800,4.32102
-1,-1,18,13,408,300,16.614
-1,-1,18,12,409,300,46.6921
-1,-1,18,11,410,300,43.9048
-1,-1,18,10,411,400,30.4492
-1,-1,18,9,412,1800,18.1104
-1,-1,18,8,413,400,23.854
-1,-1,18,7,414,700,21.2659
-1,-1,18,6,415,400,15.7063
-1,-1,18,5,416,200,36.2195
-1,-1,18,4,417,100,33.5654
-1,-1,18,3,418,200,35.8858
-1,-1,18,1,419,100,42.9036
-1,-1,18,0,420,300,44.1699
-1,-1,19,23,421,400,19.9567
-1,-1,19,22,422,700,19.9685
-1,-1,19,21,423,2400,7.71313
-1,-1,19,20,424,1200,8.17253
-1,-1,19,18,425,1200,9.89775
-1,-1,19,17,426,400,4.26459
-1,-1,19,16,427,1700,16.5567
-1,-1,19,15,428,1600,7.44122
-1,-1,19,14,429,1100,14.2188
-1,-1,19,13,430,500,26.5118
-1,-1,19,12,431,600,37.4329
-1,-1,19,11,432,500,40.4579
-1,-1,19,10,433,600,40.3231
-1,-1,19,9,434,2500,27.8642
-1,-1,19,8,435,600,27.0134
-1,-1,19,7,436,900,11.8867
-1,-1,19,6,437,500,6.32707
-1,-1,19,5,438,300,26.8403
-1,-1,19,4,439,100,36.7194
-1,-1,19,3,440,300,39.0398
-1,-1,19,1,441,100,33.5244
-1,-1,19,0,442,300,39.5253
-1,-1,20,23,443,500,11.7841
-1,-1,20,22,444,700,15.4899
-1,-1,20,21,445,1800,4.04194
-1,-1,20,19,446,1200,8.19524
-1,-1,20,18,447,400,17.2138
-1,-1,20,17,448,100,12.4598
-1,-1,20,16,449,600,24.6493
-1,-1,20,15,450,600,15.6365
-1,-1,20,14,451,800,12.9341
-1,-1,20,13,452,400,24.4
-1,-1,20,12,453,600,29.2603
-1,-1,20,11,454,300,32.2854
-1,-1,20,10,455,400,38.2352
-1,-1,20,9,456,1200,26.7235
-1,-1,20,8,457,300,32.4671
-1,-1,20,7,458,400,20.082
-1,-1,20,6,459,200,14.5223
-1,-1,20,5,460,100,35.0355
-1,-1,20,4,461,100,42.1785
-1,-1,20,3,462,200,40.5776
-1,-1,20,0,463,100,40.3156
-1,-1,21,23,464,1100,15.8807
-1,-1,21,22,465,2100,12.2554
-1,-1,21,20,466,1800,4.09651
-1,-1,21,19,467,2400,7.71313
-1,-1,21,18,468,1200,13.1719
-1,-1,21,17,469,300,11.9777
-1,-1,21,16,470,1700,20.6073
-1,-1,21,15,471,1200,15.1543
-1,-1,21,14,472,2600,8.89218
-1,-1,21,13,473,1200,21.1656
-1,-1,21,12,474,1300,33.3568
-1,-1,21,11,475,700,36.3819
-1,-1,21,10,476,1100,35.0007
-1,-1,21,9,477,2600,22.6816
-1,-1,21,8,478,700,28.4252
-1,-1,21,7,479,500,19.5998
-1,-1,21,6,480,500,14.0402
-1,-1,21,5,481,200,34.5534
-1,-1,21,4,482,200,38.1365
-1,-1,21,3,483,400,40.4569
-1,-1,21,2,484,100,40.403
-1,-1,21,1,485,100,41.2375
-1,-1,21,0,486,400,44.4122
-1,-1,22,23,487,700,3.76984
-1,-1,22,21,488,2100,12.1261
-1,-1,22,20,489,700,15.4197
-1,-1,22,19,490,700,19.8393
-1,-1,22,18,491,300,25.298
-1,-1,22,17,492,100,24.1038
-1,-1,22,16,493,600,32.7335
-1,-1,22,15,494,500,27.2805
-1,-1,22,14,495,1000,21.0183
-1,-1,22,13,496,1100,8.91015
-1,-1,22,12,497,800,21.246
-1,-1,22,11,498,700,24.2711
-1,-1,22,10,499,1300,22.7453
-1,-1,22,9,500,1800,34.8077
-1,-1,22,8,501,500,40.5513
-1,-1,22,7,502,300,31.726
-1,-1,22,6,503,200,26.1663
-1,-1,22,5,504,100,42.0369
-1,-1,22,4,505,100,32.2854
-1,-1,22,3,506,500,29.9684
-1,-1,22,2,507,100,28.2921
-1,-1,22,0,508,300,32.3013
-1,-1,23,22,509,700,3.70574
-1,-1,23,21,510,1100,15.6918
-1,-1,23,20,511,500,11.6499
-1,-1,23,19,512,400,19.8451
-1,-1,23,18,513,100,28.8637
-1,-1,23,16,514,300,36.2991
-1,-1,23,15,515,300,27.2863
-1,-1,23,14,516,400,24.584
-1,-1,23,13,517,400,12.6159
-1,-1,23,12,518,700,17.4762
-1,-1,23,11,519,500,20.5012
-1,-1,23,10,520,600,26.4511
-1,-1,23,9,521,800,38.3734
-1,-1,23,8,522,200,40.8219
-1,-1,23,7,523,200,31.7318
-1,-1,23,6,524,100,26.1722
-1,-1,23,5,525,100,40.8621
-1,-1,23,3,526,200,28.7935
-1,-1,23,0,527,100,28.5315
0,-1,0,23,0,100,49.5436
0,-1,0,22,1,300,54.3751
0,-1,0,21,2,400,77.45
0,-1,0,20,3,100,72.1389
0,-1,0,19,4,300,78.6134
0,-1,0,18,5,300,88.996
0,-1,0,17,6,100,74.3661
0,-1,0,16,7,400,86.899
0,-1,0,15,8,500,76.8187
0,-1,0,14,9,500,86.5973
0,-1,0,13,10,300,61.6013
0,-1,0,12,11,500,11.1129
0,-1,0,11,12,200,8.05977
0,-1,0,10,13,500,44.6676
0,-1,0,9,14,1300,75.3037
0,-1,0,8,15,500,82.784
0,-1,0,7,16,800,67.2203
0,-1,0,6,17,500,72.3091
0,-1,0,5,18,300,39.8851
0,-1,0,4,19,200,10.0183
0,-1,0,3,20,500,8.01822
0,-1,0,2,21,100,4.00543
0,-1,0,1,22,100,6.04498
0,-1,1,21,23,100,80.4702
0,-1,1,19,24,100,72.5684
0,-1,1,18,25,100,82.951
0,-1,1,16,26,200,80.854
0,-1,1,15,27,400,70.7737
0,-1,1,14,28,100,87.4395
0,-1,1,13,29,100,67.602
0,-1,1,12,30,300,17.1136
0,-1,1,11,31,100,14.0605
0,-1,1,10,32,200,50.6682
0,-1,1,9,33,600,81.3043
0,-1,1,8,34,200,80.8362
0,-1,1,7,35,400,61.1754
0,-1,1,6,36,200,66.2641
0,-1,1,5,37,400,33.8401
0,-1,1,4,38,100,16.019
0,-1,1,3,39,200,14.0189
0,-1,1,2,40,100,10.0061
0,-1,1,0,41,100,6.00069
0,-1,2,22,42,100,50.3696
0,-1,2,21,43,100,73.4445
0,-1,2,16,44,100,86.0282
0,-1,2,15,45,200,80.9244
0,-1,2,14,46,100,82.5919
0,-1,2,13,47,100,57.5959
0,-1,2,12,48,100,7.1075
0,-1,2,11,49,200,4.05434
0,-1,2,10,50,300,40.6621
0,-1,2,9,51,300,71.2982
0,-1,2,8,52,100,78.7786
0,-1,2,7,53,200,71.326
0,-1,2,6,54,100,76.4147
0,-1,2,5,55,300,43.9908
0,-1,2,4,56,100,6.01285
0,-1,2,3,57,200,4.0128
0,-1,2,1,58,100,10.1506
0,-1,2,0,59,100,4.10565
0,-1,3,23,60,200,50.7716
0,-1,3,22,61,500,55.603
0,-1,3,21,62,400,78.6779
0,-1,3,20,63,200,73.3669
0,-1,3,19,64,300,83.4808
0,-1,3,18,65,200,83.4051
0,-1,3,17,66,100,83.7052
0,-1,3,16,67,500,82.2734
0,-1,3,15,68,800,86.1578
0,-1,3,14,69,500,78.8371
0,-1,3,13,70,500,53.8411
0,-1,3,12,71,600,12.3409
0,-1,3,11,72,600,9.28774
0,-1,3,10,73,1400,36.9074
0,-1,3,9,74,1200,67.5435
0,-1,3,8,75,700,75.0238
0,-1,3,7,76,700,76.5594
0,-1,3,6,77,400,81.6481
0,-1,3,5,78,400,49.2241
0,-1,3,4,79,500,2.00006
0,-1,3,2,80,200,5.2334
0,-1,3,1,81,200,15.384
0,-1,3,0,82,500,9.33905
0,-1,4,22,83,100,58.3619
0,-1,4,21,84,200,81.4368
0,-1,4,20,85,100,76.1258
0,-1,4,19,86,100,86.2397
0,-1,4,18,87,100,86.164
0,-1,4,16,88,200,85.0323
0,-1,4,15,89,500,88.9167
0,-1,4,14,90,200,81.596
0,-1,4,13,91,100,56.6
0,-1,4,12,92,200,15.0998
0,-1,4,11,93,200,12.0466
0,-1,4,10,94,500,39.6663
0,-1,4,9,95,1000,70.3024
0,-1,4,8,96,800,77.7827
0,-1,4,7,97,500,79.3183
0,-1,4,6,98,200,84.407
0,-1,4,5,99,200,51.9831
0,-1,4,3,100,500,2.75891
0,-1,4,2,101,100,7.9923
0,-1,4,1,102,100,18.1429
0,-1,4,0,103,200,12.098
0,-1,5,23,104,100,59.7507
0,-1,5,22,105,100,62.5592
0,-1,5,21,106,200,46.6301
0,-1,5,20,107,100,46.8302
0,-1,5,19,108,300,38.7283
0,-1,5,18,109,200,49.1109
0,-1,5,17,110,100,34.481
0,-1,5,16,111,500,47.0139
0,-1,5,15,112,900,36.9336
0,-1,5,14,113,200,53.5993
0,-1,5,13,114,100,62.8203
0,-1,5,12,115,200,21.32
0,-1,5,11,116,200,18.2669
0,-1,5,10,117,400,45.8865
0,-1,5,9,118,800,50.3488
0,-1,5,8,119,400,46.9961
0,-1,5,7,120,800,27.3353
0,-1,5,6,121,400,32.424
0,-1,5,4,122,200,6.22024
0,-1,5,3,123,400,8.97914
0,-1,5,2,124,300,14.2125
0,-1,5,1,125,400,5.46677
0,-1,5,0,126,300,11.4675
0,-1,6,23,127,100,29.1105
0,-1,6,22,128,200,30.1352
0,-1,6,21,129,500,14.2061
0,-1,6,20,130,200,14.4063
0,-1,6,19,131,500,6.30434
0,-1,6,18,132,400,16.6869
0,-1,6,17,133,200,2.05702
0,-1,6,16,134,1000,15.3046
0,-1,6,15,135,1400,5.22434
0,-1,6,14,136,500,21.1753
0,-1,6,13,137,200,36.5025
0,-1,6,12,138,400,46.0379
0,-1,6,11,139,700,44.5012
0,-1,6,10,140,500,38.8054
0,-1,6,9,141,1900,27.9713
0,-1,6,8,142,600,25.1664
0,-1,6,7,143,1000,5.50563
0,-1,6,5,144,400,26.2343
0,-1,6,4,145,200,32.4546
0,-1,6,3,146,400,35.2135
0,-1,6,2,147,100,40.4469
0,-1,6,1,148,200,31.7011
0,-1,6,0,149,500,37.7018
0,-1,7,23,150,200,34.1992
0,-1,7,22,151,300,35.2239
0,-1,7,21,152,500,19.2948
0,-1,7,20,153,400,19.495
0,-1,7,19,154,900,11.3931
0,-1,7,18,155,700,21.7757
0,-1,7,17,156,300,7.14575
0,-1,7,16,157,1400,19.6786
0,-1,7,15,158,2200,9.59837
0,-1,7,14,159,600,26.2641
0,-1,7,13,160,400,41.5912
0,-1,7,12,161,600,42.0487
0,-1,7,11,162,600,38.9956
0,-1,7,10,163,800,33.8476
0,-1,7,9,164,1600,23.0135
0,-1,7,8,165,800,19.6608
0,-1,7,6,166,1000,5.08874
0,-1,7,5,167,800,20.7287
0,-1,7,4,168,500,26.9489
0,-1,7,3,169,700,29.7078
0,-1,7,2,170,200,34.9412
0,-1,7,1,171,400,26.1955
0,-1,7,0,172,800,32.1961
0,-1,8,23,173,200,42.1343
0,-1,8,22,174,500,38.7265
0,-1,8,21,175,700,22.7974
0,-1,8,20,176,300,27.7394
0,-1,8,19,177,600,24.5971
0,-1,8,18,178,400,19.2356
0,-1,8,17,179,200,20.3498
0,-1,8,16,180,900,18.0827
0,-1,8,15,181,1400,22.5191
0,-1,8,14,182,900,14.6676
0,-1,8,13,183,600,29.9947
0,-1,8,12,184,600,22.5653
0,-1,8,11,185,600,19.5122
0,-1,8,10,186,1400,14.1868
0,-1,8,9,187,2800,3.35274
0,-1,8,7,188,800,13.204
0,-1,8,6,189,600,18.2928
0,-1,8,5,190,400,33.9327
0,-1,8,4,191,800,7.46552
0,-1,8,3,192,700,10.2244
0,-1,8,2,193,100,15.4578
0,-1,8,1,194,200,25.6085
0,-1,8,0,195,500,19.5635
0,-1,9,23,196,800,38.7815
0,-1,9,22,197,1800,35.3738
0,-1,9,21,198,2600,19.4446
0,-1,9,20,199,1200,24.3867
0,-1,9,19,200,2500,26.4827
0,-1,9,18,201,1800,15.8828
0,-1,9,17,202,700,22.2889
0,-1,9,16,203,3900,14.73
0,-1,9,15,204,4400,19.1664
0,-1,9,14,205,4000,11.3148
0,-1,9,13,206,2100,26.642
0,-1,9,12,207,1900,29.5762
0,-1,9,11,208,2000,26.523
0,-1,9,10,209,4000,10.8341
0,-1,9,8,210,2800,7.48035
0,-1,9,7,211,1600,20.6844
